TIMESTAMP X(mg) Y(mg) Z(mg)
599618630119442304 -963 79 391
599618630129314948 -962 78 393
599618630139185792 -965 78 395
599618630149056640 -963 82 394
599618630158927488 -962 81 392
599618630168798464 -962 80 390
599618630178669312 -959 80 388
599618630188540160 -961 75 388
599618630198411008 -960 76 388
599618630208281984 -962 79 388
599618630218152832 -964 79 387
599618630228023680 -962 83 385
599618630237894528 -963 87 385
599618630247765376 -964 85 386
599618630257636352 -963 89 387
599618630267507200 -965 84 387
599618630277378048 -965 85 386
599618630287248896 -966 82 384
599618630297119872 -966 82 385
599618630306990720 -964 82 386
599618630316861568 -962 81 386
599618630326732416 -962 77 388
599618630336603392 -961 78 388
599618630346474240 -964 74 385
599618630356345088 -963 75 388
599618630366215936 -964 74 387
599618630376086784 -965 75 386
599618630385957760 -964 77 387
599618630395828608 -964 80 389
599618630405699456 -962 82 388
599618630415570304 -962 84 389
599618630425441280 -961 83 386
599618630435312128 -964 82 385
599618630445182976 -963 84 388
599618630455053824 -967 85 389
599618630464924672 -969 84 390
599618630474795648 -970 84 384
599618630484666520 -966 83 379
599618630494539904 -964 79 380
599618630504413312 -959 77 386
599618630514286720 -952 75 393
599618630524160128 -961 74 393
599618630534033536 -966 80 388
599618630543906944 -967 82 386
599618630553780480 -967 81 382
599618630563653888 -965 84 382
599618630573527296 -964 88 388
599618630583400704 -962 90 393
599618630593274112 -961 87 390
599618630603147520 -962 87 389
599618630613020928 -964 81 389
599618630622894336 -968 80 390
599618630632767744 -971 82 397
599618630642641152 -970 84 407
599618630652514688 -970 85 417
599618630662388096 -975 91 425
599618630672261504 -977 99 427
599618630682134912 -985 104 413
599618630692008320 -985 105 407
599618630701881728 -978 105 407
599618630711755136 -973 104 416
599618630721628544 -969 101 433
599618630731501952 -970 96 443
599618630741375360 -975 97 441
599618630751248896 -979 99 424
599618630761122304 -978 96 399
599618630770995712 -975 95 385
599618630780869120 -974 89 378
599618630790742528 -974 89 375
599618630800615936 -974 85 370
599618630810489344 -979 82 361
599618630820362752 -985 80 344
599618630830236160 -989 79 330
599618630840109660 -986 78 317
599618630849984000 -980 75 312
599618630859858304 -971 70 304
599618630869732480 -963 58 311
599618630879606784 -959 53 319
599618630889481088 -963 52 323
599618630899355392 -968 47 320
599618630909229568 -973 40 318
599618630919103872 -976 39 328
599618630928978176 -980 43 341
599618630938852480 -985 46 355
599618630948726656 -986 50 362
599618630958600960 -991 52 361
599618630968475264 -993 59 356
599618630978349440 -996 67 355
599618630988223744 -993 77 352
599618630998098048 -981 75 352
599618631007972352 -964 71 357
599618631017846528 -946 68 371
599618631027720832 -931 67 389
599618631037595136 -920 76 422
599618631047469312 -917 98 440
599618631057343616 -916 109 441
599618631067217920 -916 109 439
599618631077092224 -915 103 447
599618631086966400 -911 94 454
599618631096840704 -908 93 450
599618631106715008 -903 93 444
599618631116589312 -900 88 444
599618631126463488 -904 85 452
599618631136337792 -906 94 469
599618631146212096 -909 104 482
599618631156086272 -915 108 490
599618631165960576 -918 108 490
599618631175834880 -922 105 491
599618631185709184 -923 95 493
599618631195583334 -920 85 495
599618631205456768 -912 75 496
599618631215330176 -908 64 500
599618631225203584 -905 63 493
599618631235076992 -903 69 493
599618631244950400 -897 72 493
599618631254823808 -884 83 496
599618631264697344 -873 90 503
599618631274570752 -869 95 507
599618631284444160 -855 93 512
599618631294317568 -851 97 524
599618631304190976 -856 95 539
599618631314064384 -881 101 539
599618631323937792 -895 99 529
599618631333811200 -902 94 525
599618631343684608 -901 77 523
599618631353558016 -901 69 527
599618631363431552 -897 63 543
599618631373304960 -896 59 552
599618631383178368 -899 66 556
599618631393051776 -898 68 549
599618631402925184 -899 70 543
599618631412798592 -900 74 532
599618631422672000 -902 68 526
599618631432545408 -901 71 516
599618631442418816 -897 64 506
599618631452292224 -893 60 507
599618631462165760 -886 59 509
599618631472039168 -881 58 510
599618631481912576 -877 56 510
599618631491785984 -875 61 513
599618631501659392 -871 67 519
599618631511532800 -871 67 524
599618631521406208 -873 69 528
599618631531279616 -871 71 532
599618631541153024 -875 67 539
599618631551026470 -884 64 541
599618631560902400 -889 62 545
599618631570778368 -893 59 543
599618631580654336 -892 63 534
599618631590530304 -890 67 536
599618631600406272 -887 73 537
599618631610282240 -880 74 536
599618631620158208 -869 72 541
599618631630034176 -859 67 546
599618631639910144 -858 67 550
599618631649786112 -859 72 553
599618631659662080 -863 72 558
599618631669538048 -868 75 560
599618631679414016 -878 80 553
599618631689289984 -884 85 546
599618631699165952 -884 86 546
599618631709041792 -885 91 543
599618631718917760 -887 89 542
599618631728793728 -888 90 540
599618631738669696 -892 89 538
599618631748545664 -889 85 533
599618631758421632 -887 78 529
599618631768297600 -882 81 532
599618631778173568 -877 81 536
599618631788049536 -877 81 542
599618631797925504 -881 80 545
599618631807801472 -888 79 548
599618631817677440 -895 75 546
599618631827553408 -899 71 543
599618631837429376 -902 68 537
